Iterations,Accuracy (%),$\beta$,seed,f
120,89.25280448717949,0.0,1,1
150,89.86378205128206,0.0,1,1
180,90.6650641025641,0.0,1,1
210,90.9755608974359,0.0,1,1
240,91.29607371794872,0.0,1,1
270,91.7167467948718,0.0,1,1
300,91.8369391025641,0.0,1,1
330,92.27764423076923,0.0,1,1
360,92.44791666666667,0.0,1,1
390,92.70833333333333,0.0,1,1
420,92.78846153846153,0.0,1,1
450,92.86858974358974,0.0,1,1
480,93.13902243589743,0.0,1,1
510,93.40945512820512,0.0,1,1
540,93.60977564102564,0.0,1,1
570,93.80008012820512,0.0,1,1
600,93.96033653846153,0.0,1,1
30,85.69711538461539,0.9,1,1
60,90.53485576923077,0.9,1,1
90,92.98878205128206,0.9,1,1
120,94.27083333333333,0.9,1,1
150,94.95192307692308,0.9,1,1
180,95.64302884615384,0.9,1,1
210,96.00360576923077,0.9,1,1
240,96.38421474358974,0.9,1,1
270,96.51442307692308,0.9,1,1
300,96.9551282051282,0.9,1,1
330,96.92508012820512,0.9,1,1
360,97.15544871794872,0.9,1,1
390,97.11538461538461,0.9,1,1
420,97.50600961538461,0.9,1,1
450,97.70633012820512,0.9,1,1
480,97.70633012820512,0.9,1,1
510,97.74639423076923,0.9,1,1
540,97.74639423076923,0.9,1,1
570,97.98677884615384,0.9,1,1
600,97.91666666666667,0.9,1,1
30,73.38741987179488,0.0,1,6
60,83.03285256410257,0.0,1,6
90,87.0292467948718,0.0,1,6
120,88.64182692307692,0.0,1,6
150,89.77363782051282,0.0,1,6
180,90.26442307692308,0.0,1,6
210,90.68509615384616,0.0,1,6
240,91.06570512820512,0.0,1,6
270,91.39623397435898,0.0,1,6
300,91.60657051282051,0.0,1,6
330,91.9170673076923,0.0,1,6
360,92.1073717948718,0.0,1,6
390,92.36778846153847,0.0,1,6
420,92.50801282051282,0.0,1,6
450,92.80849358974359,0.0,1,6
480,92.98878205128206,0.0,1,6
510,93.13902243589743,0.0,1,6
540,93.24919871794872,0.0,1,6
570,93.49959935897436,0.0,1,6
600,93.56971153846153,0.0,1,6
30,86.4082532051282,0.9,1,6
60,91.43629807692308,0.9,1,6
90,92.67828525641026,0.9,1,6
120,93.90024038461539,0.9,1,6
150,94.78165064102564,0.9,1,6
180,95.22235576923077,0.9,1,6
210,95.92347756410257,0.9,1,6
240,96.2139423076923,0.9,1,6
270,96.34415064102564,0.9,1,6
300,96.41426282051282,0.9,1,6
330,96.81490384615384,0.9,1,6
360,97.04527243589743,0.9,1,6
390,97.1854967948718,0.9,1,6
420,97.3858173076923,0.9,1,6
450,97.49599358974359,0.9,1,6
480,97.60616987179488,0.9,1,6
510,97.65625,0.9,1,6
540,97.83653846153847,0.9,1,6
570,97.93669871794872,0.9,1,6
600,97.98677884615384,0.9,1,6
30,71.65464743589743,0.0,1,12
60,80.36858974358974,0.0,1,12
90,85.79727564102564,0.0,1,12
120,87.94070512820512,0.0,1,12
150,89.16266025641026,0.0,1,12
180,89.79366987179488,0.0,1,12
210,90.29447115384616,0.0,1,12
240,90.65504807692308,0.0,1,12
270,91.08573717948718,0.0,1,12
300,91.18589743589743,0.0,1,12
330,91.46634615384616,0.0,1,12
360,91.7568108974359,0.0,1,12
390,91.92708333333333,0.0,1,12
420,92.07732371794872,0.0,1,12
450,92.2676282051282,0.0,1,12
480,92.4979967948718,0.0,1,12
510,92.6582532051282,0.0,1,12
540,92.79847756410257,0.0,1,12
570,92.95873397435898,0.0,1,12
600,93.12900641025641,0.0,1,12
30,86.2479967948718,0.9,1,12
60,91.19591346153847,0.9,1,12
90,92.05729166666667,0.9,1,12
120,93.3994391025641,0.9,1,12
150,94.68149038461539,0.9,1,12
180,95.01201923076923,0.9,1,12
210,95.51282051282051,0.9,1,12
240,95.87339743589743,0.9,1,12
270,96.28405448717949,0.9,1,12
300,96.06370192307692,0.9,1,12
330,96.5244391025641,0.9,1,12
360,96.63461538461539,0.9,1,12
390,96.90504807692308,0.9,1,12
420,97.05528846153847,0.9,1,12
450,97.12540064102564,0.9,1,12
480,97.40584935897436,0.9,1,12
510,97.41586538461539,0.9,1,12
540,97.58613782051282,0.9,1,12
570,97.62620192307692,0.9,1,12
600,97.72636217948718,0.9,1,12
30,67.91866987179488,0.0,2,1
60,79.1766826923077,0.0,2,1
90,85.20633012820512,0.0,2,1
120,87.98076923076923,0.0,2,1
150,89.21274038461539,0.0,2,1
180,89.89383012820512,0.0,2,1
210,90.5448717948718,0.0,2,1
240,90.91546474358974,0.0,2,1
270,91.19591346153847,0.0,2,1
300,91.40625,0.0,2,1
330,91.7167467948718,0.0,2,1
